id,name,SCOM,CC,LSCC,CAMC
39143,Bid,1.000,1.000,1.000,1.000
9574,ComparableSecurity,1.000,1.000,1.000,1.000
10343,AuctionPage,0.000,0.000,0.000,1.000
9931,StockDollars,1.000,1.000,1.000,1.000
9598,Table,0.000,0.000,0.000,0.500
10196,Form,1.000,1.000,0.000,1.000
39140,Auctioned,1.000,1.000,1.000,1.000
142554,accessToken,1.000,1.000,1.000,1.000
39062,OldUser,1.000,1.000,1.000,1.000
10306,SubmitRender,1.000,1.000,1.000,1.000
10300,Refreshable,1.000,1.000,0.000,1.000
9625,Dollars,0.000,0.000,0.000,0.500
10210,FormSubmit,0.000,0.000,0.000,0.583
10410,commentPage,1.000,1.000,0.000,1.000
39110,AuctionBid,1.000,1.000,1.000,1.000
10244,StringField,1.000,1.000,1.000,1.000
10581,News,0.000,0.000,0.000,0.556
9601,KL,1.000,1.000,1.000,0.500
39054,League,1.000,1.000,1.000,1.000
9735,SellServlet,1.000,1.000,1.000,1.000
39194,NewsEventWithVotes,0.000,0.000,0.000,1.000
39146,Won,1.000,1.000,1.000,1.000
11024,BigDecimalOptionFormatted,1.000,1.000,1.000,1.000
157401,NeedRenderable,1.000,1.000,1.000,1.000
9565,SecDerivative,1.000,1.000,1.000,0.500
10971,UserPage,1.000,1.000,0.000,1.000
9699,BuyServlet,1.000,1.000,1.000,1.000
9824,DividendDatabase,1.000,1.000,1.000,1.000
145792,savedPortfolio,1.000,1.000,1.000,1.000
10304,InnerFieldRender,1.000,1.000,1.000,1.000
93022,$anon,1.000,1.000,0.000,1.000
10282,package,0.000,0.000,0.000,0.042
10458,OpenAuction,1.000,1.000,0.000,1.000
9608,Links,0.000,0.000,0.000,0.500
9649,RankingSchema,0.000,0.000,0.000,1.000
10644,PortfolioInvites,0.000,0.000,0.000,0.333
10166,CaseField,1.000,1.000,0.000,1.000
10915,tChart,1.000,1.000,0.000,1.000
10795,SearchPipeline,1.000,1.000,1.000,1.000
265394,Idle,1.000,1.000,1.000,1.000
39051,PortfolioInvite,1.000,1.000,1.000,1.000
10893,SwitchPortfolio,1.000,1.000,0.000,1.000
10807,SelectField,1.000,1.000,0.000,1.000
10808,SelectRender,1.000,1.000,1.000,1.000
9856,QueryService,1.000,1.000,1.000,1.000
9971,package,1.000,1.000,1.000,1.000
9991,Backend,1.000,1.000,1.000,1.000
9937,Response,1.000,1.000,1.000,1.000
10804,SelectField,0.500,0.333,0.333,1.000
39099,DerivativeAssetOps,0.000,0.000,0.000,1.000
10302,FieldRender,1.000,1.000,1.000,1.000
39089,DerivativeAsset,1.000,1.000,1.000,1.000
10264,DateField,1.000,1.000,0.000,1.000
39193,PortfolioWithVotes,0.000,0.000,0.000,0.367
39157,NewsEvent,1.000,1.000,0.000,1.000
10270,TextAreaField,1.000,0.500,0.500,1.000
9849,HttpQueryService,1.000,1.000,1.000,1.000
127504,$anon,1.000,1.000,0.000,1.000
10197,Field,1.000,1.000,1.000,1.000
10140,package,1.000,1.000,0.000,1.000
9673,DividendSource,1.000,1.000,1.000,1.000
9868,QuoteInfo,1.000,1.000,1.000,1.000
10942,UserField,1.000,1.000,0.000,1.000
10631,PortfolioField,1.000,1.000,0.000,1.000
9600,DBMagic,1.000,1.000,1.000,1.000
9488,email,1.000,1.000,0.000,1.000
10660,PortfolioLink,1.000,1.000,0.000,1.000
10227,ChildError,1.000,1.000,0.000,1.000
39025,NoSuchEvent,1.000,1.000,1.000,1.000
9838,FailoverStockDatabase,0.000,0.000,0.000,0.750
9934,StockShares,1.000,1.000,1.000,1.000
9683,VotingSchema,1.000,1.000,1.000,1.000
59900,$anon,1.000,1.000,0.000,1.000
9562,SecStock,1.000,1.000,1.000,0.500
9497,package,1.000,1.000,0.000,1.000
39206,PortfolioWithAutoTrades,0.000,0.000,0.000,1.000
10308,TextRender,1.000,1.000,1.000,1.000
10208,FormSubmit,1.000,1.000,1.000,1.000
39065,PortfolioOps,0.000,0.000,0.000,0.600
10563,NewPortfolio,0.000,0.000,0.000,1.000
9490,email,1.000,1.000,1.000,1.000
39029,NameInUse,1.000,1.000,1.000,1.000
9802,CacheMap,0.167,0.333,0.167,0.417
10307,ErrorRender,1.000,1.000,1.000,1.000
9571,CondGreater,1.000,1.000,1.000,1.000
9538,AuctionSchema,0.000,0.000,0.000,0.333
10687,PrintSchema,1.000,1.000,0.000,1.000
10256,ConstField,1.000,1.000,0.000,1.000
39166,EventComment,1.000,1.000,0.000,1.000
145413,NotLoggedIn,1.000,1.000,0.000,1.000
9789,TestServlet,0.000,0.000,0.000,0.500
10269,DateTimeField,1.000,1.000,0.000,1.000
245766,$anon,1.000,1.000,0.000,1.000
39023,NoSuchDerivativeLiability,1.000,1.000,1.000,1.000
39021,NoSuchDerivativeAsset,1.000,1.000,1.000,1.000
10958,UserLink,1.000,1.000,0.000,1.000
59950,$anon,0.000,0.000,0.000,0.625
11272,NodeSeqPlus,1.000,1.000,1.000,1.000
38939,NotFound,1.000,1.000,1.000,1.000
10267,DateTimeField,1.000,1.000,1.000,1.000
10361,AuctionThumbnail,0.000,0.000,0.000,1.000
93057,$anon,1.000,1.000,0.000,1.000
10978,theirPortfolio,1.000,1.000,0.000,1.000
9483,Email_bg,1.000,1.000,1.000,1.000
10199,BasicErrors,1.000,1.000,1.000,0.333
39092,DerivativeLiability,1.000,1.000,1.000,1.000
246450,$anon,1.000,1.000,1.000,1.000
10207,Submit,0.000,0.000,0.000,0.583
265395,HaveQuote,1.000,1.000,1.000,1.000
39115,PortfolioWithAuctions,0.000,0.000,0.000,0.500
9671,StockPriceSource,1.000,1.000,1.000,1.000
10579,News,0.000,0.000,0.000,1.000
9908,Message,1.000,1.000,1.000,1.000
9554,DerivativeSchema,0.000,0.000,0.000,1.000
10673,PortfolioPage,1.000,1.000,0.000,1.000
39010,NotExecutable,1.000,1.000,1.000,1.000
9644,operations,0.000,0.000,0.000,0.667
10131,TwitterLogin,0.000,0.000,0.000,0.286
39047,Portfolio,0.000,0.000,0.000,0.333
10464,StockInDerivative,1.000,1.000,1.000,1.000
39001,DontOwnStock,1.000,1.000,1.000,1.000
9875,NoSuchStockException,1.000,1.000,1.000,1.000
10011,twit,1.000,1.000,0.000,1.000
9656,schema,1.000,1.000,1.000,1.000
9940,Status,1.000,1.000,1.000,1.000
39070,StockAsset,1.000,1.000,1.000,1.000
10629,PortfolioField,1.000,1.000,1.000,1.000
10847,stockChart,1.000,1.000,0.000,1.000
9862,Stock,1.000,1.000,1.000,1.000
10272,TextAreaField,1.000,1.000,0.000,1.000
9912,Request,1.000,1.000,1.000,1.000
10312,ListRender,0.000,0.000,0.000,0.333
39008,NoSuchOffer,1.000,1.000,1.000,1.000
9626,Shares,1.000,1.000,1.000,0.208
10200,Processable,1.000,1.000,1.000,1.000
9559,SecDollar,1.000,1.000,1.000,0.500
9901,YahooStockDatabase,0.000,0.000,0.000,0.333
10622,portfolio,1.000,1.000,0.000,1.000
10974,myPage,1.000,1.000,0.000,1.000
11001,BoxOps,1.000,1.000,1.000,1.000
10217,SubmitResult,1.000,1.000,1.000,1.000
9631,Price,0.000,0.000,0.000,0.500
39057,UserOps,0.000,0.000,0.000,0.273
9826,CachedDividendDatabase,1.000,1.000,1.000,1.000
10545,PriceField,1.000,1.000,1.000,1.000
293011,Response,1.000,1.000,1.000,1.000
10223,Error,1.000,1.000,1.000,1.000
10976,theirPage,1.000,1.000,0.000,1.000
10301,Page,1.000,1.000,0.000,1.000
39114,AuctionOfferOps,0.000,0.000,0.000,1.000
39013,BidTooSmall,1.000,1.000,1.000,1.000
9622,package,0.000,0.000,0.000,0.500
9542,AutoTradeSchema,1.000,1.000,1.000,1.000
9825,YahooDividendDatabase,1.000,1.000,1.000,1.000
9527,DummySchema,0.000,0.000,0.000,1.000
52247,$anon,0.000,0.000,0.000,0.333
9628,Shares,0.000,0.000,0.000,0.500
10259,BooleanField,1.000,1.000,0.000,1.000
142552,requestToken,1.000,1.000,1.000,1.000
10823,SellThisStock,1.000,1.000,1.000,1.000
10219,OK,1.000,1.000,1.000,1.000
38961,Insert,1.000,1.000,1.000,1.000
10174,DependentListField,1.000,1.000,0.000,1.000
9924,Sell,1.000,1.000,1.000,1.000
10298,Refreshable,1.000,1.000,1.000,1.000
39095,DerivativeOffer,1.000,1.000,1.000,1.000
11275,NodePlus,1.000,1.000,1.000,1.000
10316,CheckBoxRender,1.000,1.000,1.000,1.000
38960,EditOp,1.000,1.000,1.000,1.000
9787,TestServlet,1.000,1.000,1.000,1.000
116811,LazyQuote,1.000,1.000,1.000,1.000
136675,$anon,1.000,1.000,0.000,1.000
39190,DerivativeSellerVote,1.000,1.000,1.000,1.000
108743,ResponseError,1.000,1.000,1.000,1.000
10509,EventPage,0.000,0.000,0.000,0.250
9675,Stocks,0.000,0.000,0.000,1.000
9995,TextTrader,0.000,0.000,0.000,0.750
10734,RefreshHack,1.000,1.000,0.000,1.000
10524,LoginStatus,0.000,0.000,0.000,1.000
10328,package,0.000,0.000,0.000,0.500
10319,TextAreaRender,1.000,1.000,1.000,1.000
9911,Reply,1.000,1.000,1.000,1.000
10079,Logout,0.000,0.000,0.000,0.500
246521,$anon,1.000,1.000,0.000,1.000
246466,$anon,1.000,1.000,1.000,1.000
116813,LazyQuote,1.000,1.000,0.000,1.000
39155,NewsEvent,1.000,1.000,1.000,1.000
9966,ConsoleFrontend,1.000,1.000,1.000,1.000
142492,redirectBackTo,1.000,1.000,1.000,1.000
10249,NumberField,1.000,1.000,0.000,1.000
245750,$anon,1.000,1.000,1.000,1.000
266571,$anon,1.000,1.000,1.000,1.000
108740,ResponseValid,1.000,1.000,1.000,1.000
39080,PortfolioWithStocks,0.000,0.000,0.000,0.412
9878,DatabaseException,1.000,1.000,1.000,1.000
10297,Renderable,1.000,1.000,1.000,1.000
38953,Transaction,1.000,1.000,0.000,1.000
11278,MergeAttr,1.000,1.000,1.000,1.000
10170,ListField,1.000,1.000,0.000,1.000
293014,ResponseAsset,1.000,1.000,1.000,1.000
9532,H2Schema,0.000,0.000,0.000,1.000
10461,ToBuyer,0.000,0.000,0.000,0.250
9737,SellServlet,1.000,1.000,0.000,1.000
38965,Update,1.000,1.000,1.000,1.000
93105,$anon,1.000,1.000,0.000,1.000
9555,Derivative,1.000,0.250,0.250,0.500
10880,StockOrderer,0.556,0.403,0.347,0.200
10712,quoteReport,1.000,1.000,0.000,1.000
39100,PortfolioWithDerivatives,0.000,0.000,0.000,0.278
11015,DateTimeFormatted,1.000,1.000,1.000,1.000
11006,BadUser,1.000,1.000,1.000,1.000
9639,NewsSchema,0.000,0.000,0.000,0.333
10059,Checker,0.000,0.000,0.000,1.000
39164,EventComment,1.000,1.000,1.000,1.000
9632,Scale,1.000,1.000,1.000,0.194
10547,PriceField,1.000,1.000,0.000,1.000
9474,EmailActor,0.000,0.000,0.000,1.000
10101,periodically,1.000,1.000,0.000,1.000
39121,Action,1.000,1.000,0.000,1.000
10470,DerivativeBuilder,0.055,0.109,0.055,0.136
9867,Quote,0.000,0.000,0.000,0.500
39207,AutoTradeOps,0.000,0.000,0.000,0.667
39152,Exercised,1.000,1.000,1.000,1.000
9992,Frontend,1.000,1.000,1.000,1.000
9960,WithUser,0.667,0.667,0.667,0.333
39134,Accepted,1.000,1.000,1.000,1.000
9959,PitFailBackend,0.000,0.000,0.000,0.500
39184,DerivativeSellerSetAside,1.000,1.000,1.000,1.000
38998,NotEnoughCash,1.000,1.000,1.000,1.000
39131,Offered,1.000,1.000,1.000,1.000
11040,CompSecFormatted,1.000,1.000,1.000,1.000
11036,FormattedCondition,1.000,1.000,1.000,1.000
39056,League,0.000,0.000,0.000,0.375
60540,$anon,1.000,1.000,1.000,1.000
39128,Sold,1.000,1.000,1.000,1.000
9765,StockUpdates,1.000,1.000,0.000,1.000
9865,Quote,1.000,1.000,1.000,1.000
9851,HttpQueryService,0.000,0.000,0.000,0.750
10214,BadFieldInput,1.000,1.000,1.000,1.000
10028,Boot,1.000,1.000,0.000,1.000
265392,Status,1.000,1.000,1.000,1.000
10317,DateRender,1.000,1.000,0.000,1.000
9927,SellAll,1.000,1.000,1.000,1.000
38997,NegativeVolume,1.000,1.000,1.000,1.000
39045,Portfolio,1.000,1.000,1.000,1.000
10550,SharesField,1.000,1.000,0.000,1.000
9610,RefreshHub,0.000,0.000,0.000,1.000
39187,DerivativeBuyerVote,1.000,1.000,1.000,1.000
10429,Dashboard,0.000,0.000,0.000,1.000
9586,DividendSchema,0.000,0.000,0.000,1.000
39109,AuctionOffer,1.000,1.000,0.000,1.000
9915,Action,1.000,1.000,1.000,1.000
9578,CompSecDollar,1.000,1.000,1.000,1.000
39079,StockAssetOps,0.000,0.000,0.000,1.000
39076,GroupedStockAsset,1.000,1.000,1.000,1.000
246506,$anon,0.500,0.500,0.500,1.000
10463,ToSeller,0.000,0.000,0.000,0.250
10242,TextField,1.000,1.000,1.000,1.000
10378,AutoTrades,0.500,0.500,0.500,0.250
9942,OK,1.000,1.000,0.000,1.000
11056,ColonEq,1.000,1.000,1.000,1.000
9510,package,0.000,0.000,0.000,0.100
9521,RWTwitter,1.000,1.000,1.000,1.000
256492,Stuff,1.000,1.000,1.000,1.000
39019,NoSuchPortfolio,1.000,1.000,1.000,1.000
39059,NewUser,1.000,1.000,1.000,1.000
10247,NumberField,1.000,1.000,1.000,1.000
9503,ShortThrowableRenderer,1.000,1.000,1.000,1.000
10203,UnitProcessable,1.000,1.000,0.000,1.000
10877,AddToDerivative,1.000,1.000,1.000,1.000
10204,Submit,1.000,1.000,1.000,1.000
39107,AuctionOffer,1.000,1.000,1.000,1.000
9719,GetPortfolio,1.000,1.000,1.000,1.000
9821,Dividend,1.000,1.000,1.000,1.000
167813,Bid,1.000,1.000,1.000,1.000
10113,PortfolioSwitcher,0.000,0.000,0.000,0.333
9519,Twitter,1.000,1.000,1.000,1.000
9607,Link,1.000,1.000,0.000,1.000
9949,Failed,1.000,1.000,1.000,1.000
39012,NoSuchAuction,1.000,1.000,1.000,1.000
11028,FormattedSecurities,1.000,1.000,1.000,1.000
256512,$anon,1.000,1.000,1.000,1.000
10310,CaseRender,1.000,1.000,1.000,1.000
10940,UserField,1.000,1.000,1.000,1.000
59575,$anon,1.000,1.000,0.000,1.000
39004,NotEnoughShares,1.000,1.000,1.000,1.000
39125,Bought,1.000,1.000,1.000,1.000
10167,ListField,0.000,0.000,0.000,0.250
10774,SearchBar,0.087,0.209,0.048,0.136
149581,$anon,1.000,1.000,0.000,1.000
10092,OpenIDLogin,0.000,0.000,0.000,0.250
39058,IsNewUser,1.000,1.000,1.000,1.000
10311,CaseChoices,1.000,1.000,1.000,1.000
39027,NoSuchComment,1.000,1.000,1.000,1.000
10262,DateField,1.000,1.000,1.000,1.000
142543,Auth,1.000,1.000,1.000,1.000
142556,serviceInProgress,1.000,1.000,1.000,1.000
39149,Closed,1.000,1.000,1.000,1.000
39212,DividendPayment,1.000,1.000,1.000,1.000
10997,voteControls,0.000,0.000,0.000,0.467
151983,$anon,1.000,1.000,0.000,1.000
9657,SchemaErrors,0.000,0.000,0.000,1.000
10252,IntField,1.000,1.000,0.000,1.000
9634,Scale,0.000,0.000,0.000,0.500
38969,Delete,1.000,1.000,1.000,1.000
9575,CompSecStock,1.000,1.000,1.000,1.000
10870,StockOrder,1.000,1.000,1.000,1.000
157348,$anon,1.000,1.000,0.000,1.000
39073,StockPurchase,1.000,1.000,1.000,1.000
39017,NoSuchUser,1.000,1.000,1.000,1.000
39094,DerivativeLiability,1.000,1.000,0.000,1.000
10874,BuyShares,1.000,1.000,1.000,1.000
39044,User,0.000,0.000,0.000,1.000
10825,SellThisStock,1.000,1.000,0.000,1.000
10542,DollarsField,1.000,1.000,1.000,1.000
10158,AggregateField,0.667,0.500,0.333,1.000
9570,CondAlways,0.000,0.000,0.000,1.000
9659,NotFound,1.000,1.000,0.000,1.000
142550,returnTo,1.000,1.000,1.000,1.000
9547,CommentSchema,1.000,1.000,1.000,1.000
38950,Transaction,1.000,0.750,0.750,0.250
10721,Refreshable,0.000,0.000,0.000,1.000
108978,Entry,1.000,1.000,1.000,1.000
10257,BooleanField,1.000,0.500,0.500,1.000
157238,$anon,1.000,1.000,1.000,1.000
10467,DerivativeOrder,1.000,1.000,1.000,1.000
11032,FormattedSecurity,1.000,1.000,1.000,1.000
10318,DependentListRender,1.000,1.000,1.000,1.000
9980,parser,0.000,0.000,0.000,1.000
9987,ConsoleTest,1.000,1.000,0.000,1.000
9918,GetInfo,1.000,1.000,1.000,1.000
9917,Portfolio,1.000,1.000,0.000,1.000
10171,DependentListField,0.500,1.000,0.500,1.000
9946,StringResponse,1.000,1.000,1.000,1.000
10313,ItemRender,1.000,1.000,1.000,1.000
9568,Condition,1.000,1.000,1.000,1.000
9609,Transactions,0.000,0.000,0.000,0.125
10933,TestForm,1.000,1.000,0.000,1.000
9603,KL,1.000,1.000,0.000,1.000
10599,Offers,0.000,0.000,0.000,0.500
